lambda,Acme,Becky,Clara,Joan,Mike,Ralph,test,heldout,all
0.0,0.3926253897170853,0.4390394816973088,0.4906846730705913,0.5792879698122524,0.2228710334434842,0.5531449666224957,0.4276643121136432,0.2228710334434842,0.393561716505606
0.1,0.454759852460876,0.5316142707008756,0.5441849484046144,0.5681387683265828,0.3099254192520927,0.5424779258971775,0.4843233859934315,0.3099254192520927,0.4207915812187229
0.2,0.47726204925566795,0.6028563575093437,0.5981657457679375,0.4327402615013431,0.44113847553855656,0.5473935408540139,0.4682249589589155,0.44113847553855656,0.40484720898598614
0.3,0.5420261231512684,0.5956833572299951,0.5848737699056606,0.1744341358615985,0.5066455733779403,0.33416357134214814,0.3975151694447624,0.5066455733779403,0.34691484751884205
0.4,0.5404610139950332,0.572787500430294,0.5671122650466193,-0.019009432535448022,0.4449042160406206,0.13961237893342748,0.32054107706041646,0.4449042160406206,0.2693056538793296
0.5,0.506982395959306,0.5102289807055537,0.4724239928423227,-0.11786454845649051,0.39207176368152874,0.002912652715287036,0.255662859258394,0.39207176368152874,0.2143072828956843
0.6,0.4555258863447114,0.45986626730061825,0.38388828671073283,-0.21151073085579358,0.31980816154723285,-0.08336122696082834,0.1842559890897758,0.31980816154723285,0.16218519698720585
0.7,0.4418606217632991,0.44705237564817235,0.3154609190866956,-0.279922426143831,0.24459044593800244,-0.13918643616712548,0.1537604435562447,0.24459044593800244,0.12649358902254587
0.8,0.37752757800366554,0.42537716547540694,0.25597663289635975,-0.3031238024969895,0.214564119351224,-0.17721461521929682,0.12667606265652537,0.214564119351224,0.09994939248687199
0.9,0.36271740998835567,0.40858898370725266,0.21694585217595502,-0.3195500744100947,0.19889464377306673,-0.20441745061717828,0.11111471165028457,0.19889464377306673,0.08008255823866454
1.0,0.30791563567997016,0.39482577715509015,0.20300449663757678,-0.3075959453009313,0.18662462130911783,-0.22469238551249116,0.08568553307170325,0.18662462130911783,0.06478213913062544
