lambda,Acme,Becky,Clara,Joan,Mike,Ralph,test,heldout,all
0.0,0.3576627216021122,0.4217932267833919,0.4620602209059014,0.43537851671724914,0.2228712329396414,0.508510692650566,0.42771683942397387,0.2228712329396414,0.39402515744009736
0.1,0.4007702896957437,0.4758127427437925,0.48855190987840263,0.4495165811528964,0.3099255722464006,0.4872689132904886,0.4843444790814938,0.3099255722464006,0.42109441190862323
0.2,0.4338533038859299,0.48191409602428587,0.5409569048066907,0.36709393614008223,0.4411382428369246,0.4174938295396614,0.4648049476640066,0.4411382428369246,0.4055745583178343
0.3,0.42944607758003905,0.4403438610350964,0.5447468824920663,0.2160956527488613,0.5066458264333802,0.2429197797952064,0.3976871712855611,0.5066458264333802,0.34845580799149983
0.4,0.3997831487688623,0.36928186818973574,0.49590297775799885,0.0784422691482625,0.4449043450119208,0.023349610077864878,0.32068525080298,0.4449043450119208,0.2686329988790955
0.5,0.3602379512532,0.300466640245724,0.3689301398431118,0.06672784551262613,0.39207180568984495,-0.09148558850946958,0.25577415488867006,0.39207180568984495,0.21507987533361841
0.6,0.3056526148863341,0.24915568708805086,0.29199162739760615,0.007349945397718358,0.31980811041604273,-0.16986678226018942,0.18433827359558366,0.31980811041604273,0.16229287876412984
0.7,0.24646017533256537,0.22680278769749296,0.2320755088410818,-0.03161398411299665,0.2445905262691693,-0.22252947458163333,0.15381268430895023,0.2445905262691693,0.12658029623578806
0.8,0.21549992193949022,0.19866641000743032,0.1989716924496668,-0.05458610383264442,0.21456411502371503,-0.2494961195194586,0.1267061426366294,0.21456411502371503,0.1000075320865568
0.9,0.18354390546922428,0.1777022893362226,0.1557592356650547,-0.07454376889893823,0.1988946562045193,-0.26860002833056923,0.11112788086902156,0.1988946562045193,0.08011025230080338
1.0,0.14987001335377226,0.15669008103941473,0.13522249004286918,-0.08901566098761746,0.18662462130911783,-0.28273793682567994,0.08568553307170325,0.18662462130911783,0.06478213913062544
