lambda,Acme,Becky,Clara,Joan,Mike,Ralph,test,heldout,all
0.0,0.39262538971708666,0.43903948169730855,0.49068467307058966,0.5792879698122525,0.2228710334434837,0.5531449666224957,0.427664312113643,0.2228710334434837,0.3935617165056059
0.1,0.3948713941739573,0.4496183070761991,0.4928613745425259,0.574361107860389,0.22406387434888514,0.5570804531455629,0.43046463391666456,0.22406387434888514,0.3945239745951229
0.2,0.3973441693935771,0.45552912327137296,0.49498419396889914,0.5783336649565718,0.22518060348432944,0.5611934420556872,0.4333144622368796,0.22518060348432944,0.39450295002886193
0.3,0.4000149790700769,0.46179200328337566,0.49678696851997817,0.5710427328031922,0.2260507225658509,0.5866647215948111,0.4406483234959291,0.2260507225658509,0.39481607040461775
0.4,0.3860336606650977,0.49026343400269445,0.4976994293362653,0.5611706876640068,0.2263333969255401,0.5923622749691814,0.4376128521890372,0.2263333969255401,0.3934191770510076
0.5,0.3749214338218474,0.4808478376086384,0.49648685836861456,0.5473543826265597,0.24434318860589074,0.5968202984684237,0.4487370377970336,0.24434318860589074,0.3955320227258117
0.6,0.39363625708667005,0.49020764431968655,0.47006652029657486,0.527256631633714,0.22282305247947087,0.5978574025570819,0.46026042362716313,0.22282305247947087,0.3944333118840594
0.7,0.40519378745069046,0.5158337280978773,0.47199620547386445,0.4967092530628008,0.21807114037672812,0.5820363996847051,0.46428270714348463,0.21807114037672812,0.3864741867498972
0.8,0.3953602976194222,0.5519258354829923,0.48720282607040016,0.44809415121062157,0.2498618742690753,0.5678200403786132,0.4825512022955738,0.2498618742690753,0.3821226002277928
0.9,0.39193750892737417,0.5593933351207215,0.45601988755376316,0.36787486691850135,0.2710182429528383,0.5194090077654016,0.4723931415816573,0.2710182429528383,0.341279690523866
1.0,0.341906637478545,0.5604799384766073,0.36985111513437163,0.23534657618330584,0.22025466028155327,0.4462564736129667,0.4014188449425516,0.22025466028155327,0.2694081808601418
