lambda,Acme,Becky,Clara,Joan,Mike,Ralph,test,heldout,all
0.0,-0.019081069623032756,0.24351632804983303,0.08005999956177161,0.1879205333663922,0.09018622503482836,0.3543823448661257,0.06483746103936301,0.09018622503482836,0.14434654101829136
0.1,-0.01196817579487815,0.26804108556420514,0.09783478909503077,0.18641505520361962,0.11964596212060055,0.35775861160576605,0.07810791966920441,0.11964596212060055,0.15405573039915066
0.2,0.0051295425994197005,0.30547916800228675,0.12093373682511507,0.19883110747110838,0.15075870845939765,0.3623297818184518,0.10020263850211499,0.15075870845939765,0.17283590052022346
0.3,0.020175651357832974,0.3362358913168867,0.1303442002445744,0.22190335842187087,0.2174761034479758,0.36877099831690835,0.12179178048726245,0.2174761034479758,0.208037185381883
0.4,0.06003444962074153,0.39438200910494403,0.162619608329568,0.21438272906349484,0.32873732263973177,0.378069930705797,0.1743830208360845,0.32873732263973177,0.2493577906243722
0.5,0.10311168764991491,0.4478411442722912,0.19430436308065552,0.23743083330750075,0.44921524155070885,0.37808995782320726,0.2226070802283272,0.44921524155070885,0.2835417582356171
0.6,0.17272869666002796,0.4482940431127934,0.2219181098561905,0.15207629447959903,0.47647637463156123,0.4020324083145344,0.25706956722703145,0.47647637463156123,0.2841967790999244
0.7,0.2569193602542225,0.38604439785749606,0.21823722780345067,0.04974500674969123,0.3970348172176762,-0.013111799767104448,0.22537901735037336,0.3970348172176762,0.2407945377830767
0.8,0.22762078591719778,0.2956445819669775,0.2138515067871867,-0.028212428068726498,0.23503838264057544,-0.2169307062701677,0.19564781561600048,0.23503838264057544,0.17064308971965525
0.9,0.1807300598766154,0.21279514753398157,0.16723271841749981,-0.06656692977101117,0.20076263238623698,-0.2605507973140436,0.16486048820609472,0.20076263238623698,0.1157883979417029
1.0,0.14987001503896752,0.15669008192645925,0.13522249048844873,-0.0890156589838455,0.18662462047790934,-0.28273793647653367,0.13376803454266414,0.18662462047790934,0.07170474588610842
